ID,s1_delta_r
ZINC000006575420,1.501139
ZINC000104311783,1.504604
ZINC000001556339,1.505467
ZINC000408732253,1.507614
ZINC000010034950,1.508639
ZINC000013466101,1.510242
ZINC000004739762,1.510259
ZINC000008755788,1.510466
ZINC000000310241,1.513344
ZINC000408977238,1.513513
ZINC000068572203,1.514636
ZINC000055225616,1.521187
ZINC000104194633,1.521526
ZINC000001403859,1.522439
ZINC000001685949,1.52341
ZINC000019879618,1.523992
ZINC000007622688,1.525359
ZINC000005615372,1.526779
ZINC000002836725,1.527934
ZINC000000143075,1.529576
ZINC000004663163,1.529616
ZINC000006487468,1.531089
ZINC000043210477,1.531815
ZINC000009553541,1.533641
ZINC000009602643,1.535175
ZINC000104073354,1.535409
ZINC000096900382,1.53765
ZINC000043210476,1.539482
ZINC000334157344,1.54185
ZINC000005274920,1.542225
ZINC000015232299,1.542681
ZINC000408974949,1.544864
ZINC000001638863,1.547398
ZINC000005032628,1.54908
ZINC000005725064,1.549354
ZINC000078737087,1.549432
ZINC000013284215,1.549927
ZINC000225753973,1.551176
ZINC000001637491,1.553575
ZINC000008665319,1.553662
ZINC000002989884,1.554385
ZINC000017100536,1.554395
ZINC000040555691,1.554524
ZINC000005537567,1.555354
ZINC000004896472,1.556466
ZINC000012960724,1.556857
ZINC000002077937,1.557472
ZINC000020867338,1.561009
ZINC000226860246,1.562799
ZINC000003183940,1.563657
ZINC000095469522,1.565023
ZINC000005748617,1.565993
ZINC000004825581,1.568469
ZINC000003654017,1.56958
ZINC000001777639,1.570304
ZINC000009087107,1.570465
ZINC000003644327,1.571157
ZINC000003032656,1.571455
ZINC000005726491,1.572517
ZINC000032935218,1.57289
ZINC000000688131,1.573025
ZINC000096307272,1.573418
ZINC000069702006,1.575185
ZINC000003086334,1.576367
ZINC000005725065,1.576969
ZINC000003129129,1.577763
ZINC000069743363,1.579493
ZINC000008396943,1.580488
ZINC000013582121,1.581114
ZINC000005549482,1.581477
ZINC000002334845,1.584477
ZINC000100321129,1.58515
ZINC000003877773,1.585244
ZINC000013207855,1.586256
ZINC000005274926,1.587637
ZINC000097035004,1.589465
ZINC000103016385,1.589886
ZINC000032593829,1.590076
ZINC000096564736,1.590603
ZINC000068603570,1.591973
ZINC000001595061,1.594901
ZINC000002624828,1.595006
ZINC000005307727,1.59538
ZINC000254489710,1.595433
ZINC000408550167,1.596101
ZINC000009338453,1.596727
ZINC000059352726,1.603714
ZINC000254614773,1.604086
ZINC000006074173,1.604945
ZINC000034242081,1.605494
ZINC000069348471,1.607897
ZINC000022022860,1.609134
ZINC000046009585,1.609802
ZINC000008580277,1.610799
ZINC000001027541,1.611952
ZINC001529502499,1.612014
ZINC000006425455,1.613237
ZINC000254403651,1.613504
ZINC000040385418,1.613738
ZINC000001582598,1.617794
ZINC000006800438,1.619173
ZINC000030955051,1.619437
ZINC000036631488,1.62056
ZINC000003371687,1.620777
ZINC000001039118,1.621787
ZINC000085389780,1.62442
ZINC000585271028,1.624687
ZINC001506401484,1.62794
ZINC000003349469,1.630747
ZINC000005725059,1.634507
ZINC000003361647,1.63525
ZINC000001579117,1.636565
ZINC000585136258,1.637843
ZINC000102925763,1.638974
ZINC000006654247,1.639246
ZINC000033344425,1.640846
ZINC000002659336,1.640863
ZINC000045000489,1.643425
ZINC000012764528,1.644371
ZINC000005772883,1.645363
ZINC000102979515,1.646488
ZINC000006509792,1.647338
ZINC000035615850,1.648104
ZINC000001103845,1.648641
ZINC000018156448,1.650298
ZINC000225492033,1.650465
ZINC000097147272,1.653224
ZINC000014244043,1.655743
ZINC000002312120,1.656787
ZINC000038478025,1.657279
ZINC000000852704,1.657716
ZINC000002285370,1.658239
ZINC000102977336,1.658278
ZINC000097212435,1.658386
ZINC000012615170,1.658803
ZINC000012960601,1.659791
ZINC000048707209,1.663553
ZINC000095117510,1.665145
ZINC000072435729,1.666837
ZINC000011865631,1.668528
ZINC000012758556,1.670139
ZINC000028526927,1.670274
ZINC000036833254,1.670337
ZINC000069740324,1.674773
ZINC000952980162,1.67584
ZINC000000390786,1.677974
ZINC000003199490,1.678099
ZINC000016953085,1.678213
ZINC000005361301,1.680973
ZINC000008611266,1.683749
ZINC000005737667,1.683909
ZINC000084600200,1.684942
ZINC000002512163,1.687743
ZINC000000077428,1.689237
ZINC000001724500,1.689501
ZINC000002508413,1.691423
ZINC000095947802,1.693467
ZINC000024739498,1.69673
ZINC000095458524,1.696792
ZINC000006589933,1.696938
ZINC000058171492,1.697077
ZINC000010891035,1.697348
ZINC000003670785,1.698371
ZINC000004086359,1.698571
ZINC000002741028,1.699317
ZINC000075105751,1.700101
ZINC000008665222,1.70103
ZINC000005681734,1.703079
ZINC000018285813,1.70375
ZINC000606444484,1.704148
ZINC000058162583,1.704635
ZINC000016133932,1.706275
ZINC000016956892,1.707532
ZINC000015776449,1.709258
ZINC000102753015,1.709785
ZINC000000099120,1.711111
ZINC000023453157,1.71129
ZINC000685938896,1.711797
ZINC000003194984,1.71258
ZINC000000049435,1.712856
ZINC000077536565,1.714335
ZINC000408722452,1.71821
ZINC000299785116,1.71951
ZINC000002595355,1.719945
ZINC000001065393,1.721206
ZINC000035325561,1.721694
ZINC000022205202,1.722233
ZINC000035737977,1.722564
ZINC000006281439,1.722652
