ID,SMILES,E(S1),E(T1)
ZINC000012546810,CCOc1cc(C#N)cc(Br)c1OC(=O)c1ccc(-n2c(C)ccc2C)cc1,4.071200024,3.856900023
ZINC000012547029,O=S(=O)(c1ccc(Oc2ccccc2)c(NC(=S)NCc2ccccc2)c1)N1CCCCC1,3.875500023,3.429600021
ZINC000012547658,c1csc(-c2nc(Sc3ccc4nnnn4n3)[nH]c2-c2cccs2)c1,3.33370002,2.887200017
ZINC000012547901,Cc1cc(=O)c(C(=O)Nc2ccc(C(=O)c3nccn3C)cc2)nn1-c1cccc(C(F)(F)F)c1,3.514200021,3.065300018
ZINC000012548235,Cn1ccnc1C(=O)c1ccc(NC(=O)c2cccc(S(C)(=O)=O)c2)cc1,3.663500022,3.215800019
ZINC000012548297,O=C(NC(=S)n1nc(NC(=O)c2ccc(Cl)cc2)n2c3ccccc3nc12)c1ccc(Cl)cc1,2.841800017,2.563300015
ZINC000012549142,CC(=O)c1cccc(S(=O)(=O)N(c2cccc3ccccc32)S(=O)(=O)c2ccc(C)c(C)c2)c1,3.666200022,3.182400019
ZINC000012549602,O=C(Nc1ccc(-n2c(=O)c3ccccc3[nH]c2=S)cc1)c1ccco1,3.664300022,3.26610002
ZINC000012552560,COC(=O)c1cccc(NC(=O)c2ccc(NS(=O)(=O)c3ccc(C(C)=O)cc3)cc2)c1,3.543900021,3.066500018
ZINC000012553748,C=CCn1c(=O)c2ccc(C(=O)Nc3nc4c(cc(C)cc4C)s3)cc2[nH]c1=S,3.755400022,3.26310002
ZINC000012556434,C=CCn1c(=O)c2ccc(C(=O)Nc3cc(C)on3)cc2[nH]c1=S,3.761200023,3.26680002
ZINC000012556786,Cn1ccnc1C(=O)c1ccc(NC(=O)c2ccc(Oc3ccc(F)cc3)cc2)cc1,3.673400022,3.226400019
ZINC000000386663,Cc1cc(C)nc(NC(=O)NC(=S)c2ccccc2)n1,2.722400016,2.358100014
ZINC000012558512,Cc1c(Sc2ccc(F)cc2)c2ccccn2c1/C(=N\S(=O)(=O)c1ccccc1)c1ccccc1,3.176500019,2.685300016
ZINC000012559638,CCN(CC)P(=Nc1ccc(C(C)=O)cc1)(c1nc2ccccc2n1CC)N(CC)CC,3.795900023,3.30960002
ZINC000000386672,O=C(c1nsnc1C(=O)c1ccccc1)c1ccccc1,3.462700021,2.993400018
ZINC000012560404,CN(C)P(=NC(=S)c1ccc(C(=S)N=P(N(C)C)(N(C)C)N(C)C)n1C)(N(C)C)N(C)C,2.635100016,2.238300013
ZINC000012561095,S=C(/N=C(/NC=C(Cl)Cl)c1ccc(Cl)cc1)Nc1ccc(Cl)cc1,3.053500018,2.570300015
ZINC000012563084,O=C(NC(=S)N1N=C2/C(=C/c3ccccc3)CCC[C@@H]2[C@@H]1c1ccccc1)c1ccco1,3.108300019,2.634000016
ZINC000012565608,CCOc1ccc(NC(=O)c2ccc(NC(=O)/C=C/C(=O)c3ccc(F)cc3)cc2)cc1,3.32710002,2.888200017
ZINC000012567084,Cc1nnc(NC(=O)c2ccsc2-n2c(C)ccc2C)s1,4.281600026,3.820800023
ZINC000012568331,O=Cc1cn(-c2nc3ccc(Cl)cc3c(-c3ccccc3)n2)nc1-c1cccs1,3.608300022,3.130100019
ZINC000012568878,CC(=O)c1c(C)[nH]c(C(=O)Nc2cc(S(=O)(=O)N3CCCCC3)ccc2Oc2ccccc2)c1C,3.913600023,3.436800021
ZINC000012569664,COC(=O)c1c2c(sc1NC(=O)c1ccc(C(=O)C(=O)c3ccccc3)cc1)CCC2,2.447800015,2.014500012
ZINC000012584791,CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccccc2NC(=O)Nc2ccccc2)cc1,4.485400027,4.099100025
ZINC000012588978,CCN(CC)S(=O)(=O)c1ccc(Sc2nc(-c3ccncc3)nc3ccccc32)nc1,3.698700022,3.222200019
ZINC000012601603,C=CCN1C(=O)c2ccc(C(=O)Nc3nc(-c4ccccc4)n[nH]3)cc2C1=O,3.984500024,3.603100022
ZINC000000388697,O=CNc1ccccn1,4.710300028,4.210800025
ZINC000012604813,CS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc(NC(=O)Nc3ccccc3)c2)cc1,4.251800025,4.127500025
ZINC000012615170,CC(=O)c1ccccc1NC(=O)c1c(C)oc(-n2cccc2)c1C#N,3.867100023,3.36740002
ZINC000000389351,O=C(O)c1ccc(N2C(=S)c3cccc4cccc(c43)C2=S)cc1,2.071600012,1.818500011
ZINC000012623933,CCCCn1ccnc1C(=O)c1cc(-c2ccc(-c3ccccc3)cc2)nc2ccccc21,3.27870002,2.813500017
