ID,delta_r,
IDIVUN,3.860142,
IDIYOL,0.761843,
AWUQOZ,3.444502,
IDIYUS,2.074191,
IDIZOM,5.928871,
IDOCIP,3.964634,
IDOJOA,4.390425,
IDOKUI,4.715677,
IDOTAY,2.453546,
IDUTOT,0.000045,
IDUXAG,1.456170,
IDUXUA01,2.190059,
IFADID,3.696940,
AXABOR,3.493497,
IFAQAJ,1.651818,
IFASUF,4.793530,
IFECIG,4.438603,
IFECOM,4.031267,
IFIYUU,1.885001,
IFIZAB,2.060979,
IFOFIV,3.880586,
IFOFOB,3.857467,
IFOYAF,3.466780,
IFUHAS,0.035626,
AXAGAI,2.663946,
IFUKID,1.445714,
IFUKOJ,2.446629,
IFUKUP,2.748162,
IFULEA,2.581603,
IFULIE,3.672849,
IFUMAA,2.668888,
IFUPEH,2.236725,
IFURUX,2.386000,
IGAJEI,2.231191,
IGAJOS,2.053396,
AXALAN,2.366383,
IGATER,3.526308,
IGEVEY,3.254072,
IGEZUR,0.517250,
IGIBAD,0.187849,
IGIBEH,0.280701,
IGOLUN,3.366442,
IGOYAH,1.175296,
IGUDAS,6.663703,
IGUDEW,0.857008,
IHAMEJ,0.929455,
AXEBIQ,1.727380,
IHAZEX,0.000000,
